Symbol,ShortName,EndDate,st_flag
1,深发展A,2010-12-31,0
1,深发展A,2011-12-31,0
1,平安银行,2012-12-31,0
1,平安银行,2013-12-31,0
1,平安银行,2014-12-31,0
1,平安银行,2015-12-31,0
1,平安银行,2016-12-31,0
1,平安银行,2017-12-31,0
1,平安银行,2018-12-31,0
1,平安银行,2019-12-31,0
1,平安银行,2020-12-31,0
1,平安银行,2021-12-31,0
1,平安银行,2022-12-31,0
1,平安银行,2023-12-31,0
1,平安银行,2024-12-31,0
1,平安银行,2025-12-31,0
2,万科A,2010-12-31,0
2,万科A,2011-12-31,0
2,万科A,2012-12-31,0
2,万科A,2013-12-31,0
2,万科A,2014-12-31,0
2,万科A,2015-12-31,0
2,万科A,2016-12-31,0
2,万科A,2017-12-31,0
2,万科A,2018-12-31,0
2,万科A,2019-12-31,0
2,万科A,2020-12-31,0
2,万科A,2021-12-31,0
2,万科A,2022-12-31,0
2,万科A,2023-12-31,0
2,万科A,2024-12-31,0
2,万科A,2025-12-31,0
4,ST 国农,2010-12-31,1
4,国农科技,2011-12-31,0
4,国农科技,2012-12-31,0
4,国农科技,2013-12-31,0
4,国农科技,2014-12-31,0
4,国农科技,2015-12-31,0
4,国农科技,2016-12-31,0
4,国农科技,2017-12-31,0
4,国农科技,2018-12-31,0
4,国农科技,2019-12-31,0
4,国华网安,2020-12-31,0
4,国华网安,2021-12-31,0
4,ST 国华,2022-12-31,1
4,国华网安,2023-12-31,0
4,国华网安,2024-12-31,0
5,世纪星源,2010-12-31,0
5,世纪星源,2011-12-31,0
5,世纪星源,2012-12-31,0
5,世纪星源,2013-12-31,0
5,世纪星源,2014-12-31,0
5,世纪星源,2015-12-31,0
5,世纪星源,2016-12-31,0
5,世纪星源,2017-12-31,0
5,世纪星源,2018-12-31,0
5,世纪星源,2019-12-31,0
5,世纪星源,2020-12-31,0
5,ST 星源,2021-12-31,1
5,ST 星源,2022-12-31,1
6,深振业A,2010-12-31,0
6,深振业A,2011-12-31,0
6,深振业A,2012-12-31,0
6,深振业A,2013-12-31,0
6,深振业A,2014-12-31,0
6,深振业A,2015-12-31,0
6,深振业A,2016-12-31,0
6,深振业A,2017-12-31,0
6,深振业A,2018-12-31,0
6,深振业A,2019-12-31,0
6,深振业A,2020-12-31,0
6,深振业A,2021-12-31,0
6,深振业A,2022-12-31,0
6,深振业A,2023-12-31,0
6,深振业A,2024-12-31,0
6,深振业A,2025-12-31,0
7,ST 零七,2010-12-31,1
7,ST 零七,2011-12-31,1
7,零七股份,2012-12-31,0
7,零七股份,2013-12-31,0
7,零七股份,2014-12-31,0
7,零七股份,2015-12-31,0
7,全新好,2016-12-31,0
7,全新好,2017-12-31,0
7,全新好,2018-12-31,0
7,全新好,2019-12-31,0
7,全新好,2020-12-31,0
7,*ST 全新,2021-12-31,1
7,全新好,2022-12-31,0
7,*ST 全新,2023-12-31,1
7,全新好,2024-12-31,0
8,ST 宝利来,2010-12-31,1
8,ST 宝利来,2011-12-31,1
8,ST 宝利来,2012-12-31,1
8,宝利来,2013-12-31,0
8,宝利来,2014-12-31,0
8,神州高铁,2015-12-31,0
8,神州高铁,2016-12-31,0
8,神州高铁,2017-12-31,0
8,神州高铁,2018-12-31,0
8,神州高铁,2019-12-31,0
8,神州高铁,2020-12-31,0
8,神州高铁,2021-12-31,0
8,神州高铁,2022-12-31,0
8,神州高铁,2023-12-31,0
8,神州高铁,2024-12-31,0
